Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old
220,99,20,358,37.5800802514,-120.95512324,25
159,99,22,89,37.0294164045,-120.140534719,27
225B,99,20,294,37.6292158844,-120.990456088,25
157,99,22,106,36.9836921698,-120.116221038,27
342,99,23,15,39.1022133333,-121.615587333,28
207,99,21,132,37.4004753788,-120.786153106,26
224,99,20,273,37.6010817949,-120.989239158,25
298B,99,13,1,38.55958,-121.47348,19
201,99,21,49,37.3549293878,-120.706807551,26
115,99,12,58,36.4924191379,-119.593599138,18
39,99,11,56,35.5320023214,-119.194831071,17
144,99,22,112,36.8616673214,-119.935595536,27
387A,99,23,4,39.1806825,-121.573465,28
386,99,23,1,39.19056,-121.63648,28
37,99,11,99,35.476349798,-119.145777273,17
214,99,20,101,37.4939720792,-120.875278416,25
44,99,11,130,35.6008917692,-119.198387308,17
213,99,20,104,37.4657620192,-120.854298365,25
230,99,20,294,37.6781239116,-121.052780986,25
147,99,22,113,36.9039659292,-120.009461593,27
114,99,12,47,36.5278502128,-119.582968511,18
218,99,20,181,37.5506162983,-120.93223337,25
225A,99,20,272,37.6041729044,-120.988268346,25
233,99,20,263,37.7076269202,-121.092536996,25
229,99,20,575,37.6530312696,-121.014895078,25
30,99,11,90,35.4089775556,-119.085060444,17
217,99,20,163,37.5405815951,-120.89600638,25
29,99,11,166,35.4171566867,-119.074416325,17
232,99,20,197,37.6814993401,-121.073386802,25
112,99,12,135,36.5027201481,-119.561214963,18
204,99,21,65,37.4161941538,-120.770768462,26
109,99,24,211,36.3633450711,-119.432666398,29
222,99,20,220,37.5853097727,-120.971565545,25
639B,101,25,5,40.383844,-123.842744,30
671,101,25,3,40.4394066667,-124.00049,30
377A,101,17,21,37.2295504762,-121.764614762,23
357,101,17,194,37.0400327835,-121.574001907,23
636,101,25,12,40.3502825,-123.867868333,30
347,101,26,2,36.89097,-121.55871,31
251,101,27,12,35.8920141667,-120.847046667,3
132,101,28,117,34.5630205128,-120.211275641,4
282B,101,27,51,36.1766803922,-121.128942353,3
548A,101,29,8,39.13699125,-123.196275,32
433A,101,30,1,37.48479,-122.40331,33
667A,101,25,5,40.376104,-123.885524,30
196,101,31,104,35.2122583654,-120.685528269,5
260,101,27,14,35.9782864286,-120.904855,3
01B,101,2,91,34.0678428571,-118.223121648,8
386A,101,17,150,37.3637964,-121.851781267,23
462B,101,32,77,38.1093551948,-122.554203636,34
791,101,33,1,41.77493,-124.18645,35
545,101,29,7,38.9371828571,-123.084174286,32
360,101,17,164,37.0817089634,-121.576919451,23
193,101,31,134,35.1545730597,-120.68710403,5
680,101,25,2,40.499315,-124.09924,30
140A,101,28,12,34.5942741667,-120.180280833,4
555B,101,29,17,39.2206188235,-123.212061176,32
546,101,29,9,39.1197477778,-123.186356667,32
721,101,25,11,40.8376918182,-123.925938182,30
676,101,25,18,40.4427877778,-124.080523889,30
722,101,25,19,40.9751173684,-124.113409474,30
71,101,34,214,34.2643949533,-119.227958692,2
377B,101,17,209,37.2526543541,-121.77542512,23
462A,101,32,82,38.0914280488,-122.555144756,34
385B,101,17,306,37.3080704902,-121.818358627,23
422,101,18,88,37.5967868182,-122.383648977,0
373,101,17,309,37.2212726214,-121.737764045,23
62B,101,34,117,34.2390335897,-119.178617521,2
645,101,25,8,40.25051875,-123.74955625,30
01A,101,2,278,34.0483371583,-118.219746691,8
366,101,17,158,37.1370205696,-121.640375949,23
258,101,27,16,35.95864125,-120.8842925,3
330,101,27,66,36.7266460606,-121.642379848,3
72,101,34,319,34.3166170219,-119.364641285,2
718,101,25,22,40.9283290909,-124.112168182,30
716B,101,25,24,40.7341991667,-124.102212083,30
365,101,17,104,37.1189160577,-121.633433462,23
353,101,17,95,36.9661472632,-121.562050105,23
734,101,25,2,41.38598,-124.03962,30
278,101,27,17,36.1944988235,-121.034427647,3
282A,101,27,12,36.2140566667,-121.147226667,3
355,101,17,87,37.0412064368,-121.605694943,23
273,101,27,48,36.1585397917,-121.055788542,3
719,101,25,15,40.9428346667,-124.115758667,30
728,101,25,6,41.0407816667,-124.11793,30
639A,101,25,1,40.1034,-123.79521,30
663,101,25,3,40.0215933333,-123.710966667,30
328,101,27,26,36.2888330769,-121.245368462,3
609,101,29,5,39.611664,-123.625128,32
731,101,25,5,41.125668,-124.15116,30
505,101,32,119,38.1378526891,-122.553048319,34
128,101,28,1387,34.4112607931,-119.648823634,4
244,101,27,20,35.8340465,-120.772992,3
362,101,17,251,37.1095188845,-121.610162311,23
557,101,29,21,39.3676942857,-123.313871429,32
271,101,27,17,36.1057758824,-121.018569412,3
460,101,32,11,38.0880572727,-122.555094545,34
263,101,27,29,36.0690506897,-121.022022414,3
281,101,27,17,36.1978476471,-120.982183529,3
614,101,29,7,40.00531,-123.807462857,32
329,101,27,42,36.6921897619,-121.657314524,3
433B,101,30,7,37.7984514286,-122.448392857,33
549,101,29,29,39.1566131034,-123.224040345,32
252,101,27,64,35.9002054688,-120.843207812,3
423A,101,18,39,37.6021017949,-122.383497692,0
679,101,25,5,40.488754,-124.092318,30
642,101,25,9,40.1470655556,-123.718894444,30
345,101,26,60,36.9548095,-121.576425833,31
63B,101,34,481,34.2541231809,-119.19619817,2
241A,101,31,141,35.2601697163,-120.661361277,5
371,101,17,138,37.1921913043,-121.704440362,23
139,101,28,11,34.5585290909,-120.027575455,4
356,101,17,172,37.0131780814,-121.568917326,23
195,101,31,81,35.2356292593,-120.695010247,5
367,101,17,380,37.1639472105,-121.667262553,23
723,101,25,15,40.9701033333,-124.119948667,30
625,101,29,4,39.95692,-123.76089,32
191B,101,31,37,35.1813240541,-120.652501351,5
674,101,25,6,40.4497483333,-124.045665,30
245,101,27,63,35.8749846032,-120.838639683,3
78,101,34,159,34.3550498113,-119.420592201,2
548B,101,29,10,39.149721,-123.196365,32
02A,105,2,45,34.0152644444,-118.352156889,8
09,105,2,3619,33.9144206549,-118.17468089,8
01D,105,2,38,33.9290821053,-118.365484737,8
02B,105,2,176,33.9005239773,-118.33694358,8
05,105,2,618,33.936112767,-118.313737783,8
07B,105,2,696,33.9332621408,-118.261888118,8
03,105,2,382,33.907615288,-118.342042461,8
01,105,2,188,33.9109829787,-118.38896984,8
07A,105,2,333,33.9132606907,-118.286911772,8
01A,110,2,128,33.7438527344,-118.285758125,8
27,118,34,231,34.2798969697,-118.699288571,2
37,118,2,346,34.2704697688,-118.528777081,8
24,118,34,137,34.2791759124,-118.746876715,2
23,118,34,169,34.2708770414,-118.759481361,2
28,118,34,110,34.27778,-118.677226636,2
41,118,2,274,34.2626211679,-118.477093248,8
38,118,2,378,34.2857045238,-118.515712381,8
18A,118,34,63,34.281578254,-118.84121254,2
25,118,34,287,34.2796763763,-118.716207178,2
29,118,34,147,34.2787615646,-118.66628102,2
42A,118,2,101,34.2645663366,-118.47130099,8
30,118,34,322,34.2685947826,-118.637724099,2
42B,118,2,593,34.2617545531,-118.456569157,8
40B,118,2,263,34.2708992015,-118.485562662,8
40A,118,2,164,34.271455122,-118.487728537,8
34,118,2,320,34.2744059688,-118.595319875,8
44B,118,2,210,34.2858285714,-118.442837333,8
45,118,2,81,34.2830102469,-118.415718519,8
44C,118,2,146,34.3090235616,-118.422645479,8
35,118,2,189,34.2886404762,-118.577326032,8
36,118,2,171,34.2728926901,-118.558533392,8
19B,118,34,313,34.299986869,-118.870979808,2
22,118,34,110,34.2831354545,-118.779064091,2
44A,118,2,26,34.3612011538,-118.443561154,8
19A,118,34,150,34.2889814667,-118.8377208,2
01C,120,0,166,37.7860816265,-121.265027169,6
03,120,0,83,37.7887609639,-121.243231566,6
05,120,0,33,37.7893827273,-121.237619697,6
04,120,0,121,37.7754477686,-121.220269835,6
01,120,0,76,37.8061901316,-121.303256316,6
13,126,2,19,34.4233789474,-118.603462105,8
10,126,34,51,34.3407394118,-119.091733137,2
11,126,34,50,34.3412052,-119.0775856,2
0-,126,2,106,34.4252363208,-118.634686604,8
05,126,34,290,34.2989425517,-119.128590966,2
03,126,34,1,34.27246,-119.21383,2
09,126,34,122,34.3197055738,-119.099675738,2
13A,134,2,273,34.1718171062,-118.167091172,8
06,134,2,275,34.1771778182,-118.269097091,8
04,134,2,196,34.1541520408,-118.286133265,8
08,134,2,418,34.1602106459,-118.235798421,8
05B,134,2,517,34.1667403482,-118.277364352,8
