Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old,Predicted_Accidents,Ratio
54B,5,5,606,33.2610274422,-117.409902492,11,423.532,1.43082458941
199,5,2,227,34.7997393392,-118.821316344,8,177.4815,1.27900654434
747,5,3,7,41.4177414286,-122.387105714,9,9.2411,0.757485580721
734,5,3,22,41.2726327273,-122.289548182,9,19.318,1.13883424785
09,5,5,93,32.7271678495,-117.128357634,11,116.0378,0.801462971549
678,5,4,28,40.612325,-122.349534643,10,22.6716,1.23502531802
682,5,4,12,40.6125633333,-122.390396667,10,11.3368,1.05849975302
628,5,9,81,39.8309364198,-122.186015556,15,62.2158,1.30192009104
176B,5,2,465,34.545684086,-118.648597785,8,333.6584,1.39364092137
578,5,7,94,39.1793610638,-122.179047021,13,70.6705,1.3301165267
17B,5,5,69,32.76067,-117.17900971,11,110.3179,0.625465133038
37,14,2,209,34.6255252632,-118.160473876,8,189.8548,1.10084127449
41,14,2,98,34.6605164286,-118.153675,8,93.6484,1.04646742496
33,14,2,139,34.5712720144,-118.137200216,8,172.8136,0.804334844017
26,14,2,151,34.4743625828,-118.16519404,8,191.0067,0.790548184959
30,14,2,201,34.5298106965,-118.128758507,8,226.4424,0.88764295026
44,14,2,19,34.6971226316,-118.166956842,8,35.0898,0.541467890954
61,14,11,19,35.0796073684,-118.159831579,17,23.5951,0.805251937902
40,14,2,86,34.6529737209,-118.162267093,8,88.8138,0.968317986619
43,14,2,55,34.6877387273,-118.168790727,8,55.9762,0.982560445332
55,14,11,129,34.8801930233,-118.184455349,17,91.7756,1.40560236054
03,14,2,239,34.4018707113,-118.478911967,8,236.9778,1.00853328877
47,14,2,40,34.763076,-118.18619225,8,48.736,0.820748522653
42,14,2,47,34.6727357447,-118.177990426,8,63.2879,0.742638008213
49,14,2,82,34.7954956098,-118.169309024,8,62.7893,1.30595499552
24,14,2,191,34.4913158639,-118.192163298,8,208.23,0.917254958459
05,14,2,254,34.4031499213,-118.448647441,8,218.0425,1.16491051057
02,14,2,852,34.3625630986,-118.494247312,8,620.7129,1.37261526223
46,14,2,20,34.738061,-118.1703795,8,25.8657,0.773224772575
27,14,2,376,34.4951956383,-118.138370824,8,302.5622,1.2427196788
06A,14,2,15,34.3983633333,-118.459385333,8,106.224,0.141211025757
39,14,2,90,34.6424881111,-118.169558667,8,96.9535,0.928280051777
45,14,2,25,34.7247816,-118.1705212,8,28.7017,0.871028545347
22,14,2,267,34.4493317978,-118.313974307,8,235.6315,1.13312524005
35,14,2,228,34.5949735965,-118.136036272,8,207.4463,1.09907961723
58,14,11,15,34.9260006667,-118.162836667,17,27.0618,0.554286854533
14A,22,10,256,33.7604052344,-117.844456992,16,317.9607,0.805130948573
08,22,10,440,33.7762647273,-117.977715682,16,476.0828,0.924208982135
07,22,10,341,33.7693944282,-117.986572434,16,458.2555,0.744126366187
17A,22,10,21,33.7646547619,-117.782325714,16,285.7469,0.0734916109326
13,22,10,1191,33.7682896054,-117.88278885,16,898.6706,1.3252909353
14B,22,10,405,33.7514731605,-117.844930198,16,372.7672,1.08646898118
02,22,10,261,33.7680898084,-118.044896245,16,395.1835,0.660452675782
12,22,10,968,33.778753936,-117.905103089,16,798.5681,1.21216963212
16,22,10,338,33.7388166864,-117.796484201,16,355.2355,0.951481482003
11,22,10,578,33.7926833045,-117.929895623,16,543.9313,1.06263419663
14D,22,10,325,33.7494990462,-117.834413938,16,337.8172,0.962058770246
15,22,10,214,33.8010284112,-117.827358318,16,363.509,0.588706194345
